temperature
26.2257
26.2308
26.2365
26.2416
26.2462
26.2503
26.2541
26.2575
26.2606
26.2626
26.2643
26.2658
26.2671
26.2683
26.2695
26.2705
26.2708
26.2707
26.2707
26.2706
26.2706
